year,age_group,total_1000,male_1000,female_1000
2009,total,127510.0,62130.0,65380.0
2009,0-19,23088.0,11830.0,11260.0
2009,20-29,14417.0,7382.0,7034.0
2009,30-39,18306.0,9279.0,9027.0
2009,40-49,16407.0,8256.0,8152.0
2009,50-59,16872.0,8380.0,8493.0
2009,60-69,17798.0,8609.0,9189.0
2009,70-79,12722.0,5725.0,6997.0
2009,80plus,7899.0,2671.0,5229.0
2010,total,128057.0,62328.0,65730.0
2010,0-19,22933.0,11750.0,11184.0
2010,20-29,13915.0,7081.0,6834.0
2010,30-39,18284.0,9275.0,9007.0
2010,40-49,16901.0,8512.0,8387.0
2010,50-59,16427.0,8176.0,8251.0
2010,60-69,18386.0,8918.0,9465.0
2010,70-79,13012.0,5849.0,7158.0
2010,80plus,8199.0,2759.0,5440.0
2011,total,127799.0,62184.0,65615.0
2011,0-19,22779.0,11674.0,11110.0
2011,20-29,13589.0,6927.0,6662.0
2011,30-39,17806.0,9031.0,8772.0
2011,40-49,17281.0,8708.0,8571.0
2011,50-59,15960.0,7947.0,8012.0
2011,60-69,18493.0,8976.0,9517.0
2011,70-79,13325.0,6014.0,7312.0
2011,80plus,8565.0,2907.0,5657.0
2012,total,127515.0,62029.0,65486.0
2012,0-19,22596.0,11572.0,11022.0
2012,20-29,13320.0,6803.0,6518.0
2012,30-39,17254.0,8750.0,8504.0
2012,40-49,17673.0,8914.0,8760.0
2012,50-59,15631.0,7789.0,7843.0
2012,60-69,18451.0,8960.0,9492.0
2012,70-79,13649.0,6178.0,7470.0
2012,80plus,8938.0,3062.0,5876.0
2013,total,127298.0,61909.0,65388.0
2013,0-19,22436.0,11492.0,10944.0
2013,20-29,13075.0,6687.0,6388.0
2013,30-39,16683.0,8459.0,8224.0
2013,40-49,18074.0,9116.0,8956.0
2013,50-59,15465.0,7710.0,7755.0
2013,60-69,18366.0,8923.0,9442.0
2013,70-79,13900.0,6309.0,7589.0
2013,80plus,9299.0,3210.0,6092.0
2014,total,127083.0,61801.0,65282.0
2014,0-19,22239.0,11390.0,10847.0
2014,20-29,12880.0,6606.0,6276.0
2014,30-39,16136.0,8182.0,7956.0
2014,40-49,18402.0,9285.0,9115.0
2014,50-59,15443.0,7705.0,7740.0
2014,60-69,18134.0,8820.0,9314.0
2014,70-79,14197.0,6458.0,7741.0
2014,80plus,9647.0,3354.0,6294.0
2015,total,127095.0,61842.0,65253.0
2015,0-19,22001.0,11278.0,10722.0
2015,20-29,12624.0,6454.0,6168.0
2015,30-39,15813.0,8018.0,7794.0
2015,40-49,18613.0,9410.0,9203.0
2015,50-59,15625.0,7813.0,7811.0
2015,60-69,18311.0,8933.0,9379.0
2015,70-79,14140.0,6442.0,7698.0
2015,80plus,9967.0,3494.0,6477.0
2016,total,126933.0,61766.0,65167.0
2016,0-19,21820.0,11183.0,10638.0
2016,20-29,12542.0,6429.0,6113.0
2016,30-39,15375.0,7803.0,7574.0
2016,40-49,18994.0,9608.0,9389.0
2016,50-59,15449.0,7727.0,7721.0
2016,60-69,18437.0,8991.0,9445.0
2016,70-79,13932.0,6356.0,7577.0
2016,80plus,10382.0,3671.0,6712.0
2017,total,126706.0,61655.0,65051.0
2017,0-19,21587.0,11063.0,10528.0
2017,20-29,12518.0,6426.0,6092.0
2017,30-39,14996.0,7612.0,7384.0
2017,40-49,18900.0,9561.0,9340.0
2017,50-59,15749.0,7885.0,7863.0
2017,60-69,17726.0,8645.0,9080.0
2017,70-79,14486.0,6638.0,7851.0
2017,80plus,10744.0,3825.0,6918.0
2018,total,126443.0,61532.0,64911.0
2018,0-19,21324.0,10925.0,10397.0
2018,20-29,12552.0,6459.0,6094.0
2018,30-39,14629.0,7432.0,7197.0
2018,40-49,18760.0,9492.0,9266.0
2018,50-59,16010.0,8022.0,7990.0
2018,60-69,16960.0,8275.0,8682.0
2018,70-79,15168.0,6969.0,8196.0
2018,80plus,11044.0,3955.0,7089.0
2019,total,126167.0,61411.0,64756.0
2019,0-19,21030.0,10774.0,10256.0
2019,20-29,12627.0,6516.0,6113.0
2019,30-39,14302.0,7275.0,7028.0
2019,40-49,18519.0,9373.0,9147.0
2019,50-59,16278.0,8160.0,8118.0
2019,60-69,16232.0,7930.0,8302.0
2019,70-79,15928.0,7332.0,8593.0
2019,80plus,11248.0,4049.0,7198.0
2020,total,126146.0,61350.0,64797.0
2020,0-19,20739.0,10628.0,10113.0
2020,20-29,12703.0,6513.0,6193.0
2020,30-39,14213.0,7237.0,6976.0
2020,40-49,18345.0,9291.0,9051.0
2020,50-59,16677.0,8362.0,8318.0
2020,60-69,15678.0,7675.0,8004.0
2020,70-79,16254.0,7484.0,8770.0
2020,80plus,11537.0,4158.0,7380.0
2021,total,125502.0,61019.0,64483.0
2021,0-19,20364.0,10438.0,9927.0
2021,20-29,12643.0,6482.0,6161.0
2021,30-39,13909.0,7086.0,6823.0
2021,40-49,17903.0,9071.0,8833.0
2021,50-59,17077.0,8568.0,8511.0
2021,60-69,15260.0,7477.0,7782.0
2021,70-79,16385.0,7554.0,8828.0
2021,80plus,11959.0,4345.0,7617.0
2022,total,124947.0,60758.0,64189.0
2022,0-19,20014.0,10259.0,9757.0
2022,20-29,12677.0,6511.0,6165.0
2022,30-39,13656.0,6968.0,6690.0
2022,40-49,17409.0,8820.0,8589.0
2022,50-59,17510.0,8792.0,8719.0
2022,60-69,14980.0,7349.0,7630.0
2022,70-79,16367.0,7556.0,8810.0
2022,80plus,12334.0,4503.0,7832.0
2023,total,124352.0,60492.0,63859.0
2023,0-19,19669.0,10076.0,9589.0
2023,20-29,12717.0,6544.0,6169.0
2023,30-39,13427.0,6867.0,6560.0
2023,40-49,16881.0,8558.0,8322.0
2023,50-59,17928.0,9013.0,8918.0
2023,60-69,14840.0,7287.0,7553.0
2023,70-79,16290.0,7527.0,8765.0
2023,80plus,12602.0,4621.0,7987.0
2024,total,123802.0,60233.0,63569.0
2024,0-19,19288.0,9884.0,9405.0
2024,20-29,12779.0,6587.0,6192.0
2024,30-39,13268.0,6797.0,6469.0
2024,40-49,16378.0,8301.0,8073.0
2024,50-59,18278.0,9193.0,9084.0
2024,60-69,14841.0,7292.0,7547.0
2024,70-79,16084.0,7438.0,8644.0
2024,80plus,12891.0,4740.0,8153.0
