age_group,month,mean_count,sd_count,min_count,max_count,mean_rate,sd_rate,n_years
all,1,1960.0,323.9,1622,2709,18.58,2.95,16
all,2,1797.4,311.1,1463,2469,17.04,2.83,16
all,3,2172.1,371.0,1771,3108,20.59,3.39,16
all,4,2045.4,395.1,1463,3026,19.39,3.63,16
all,5,2166.9,461.1,1565,3326,20.54,4.23,16
all,6,2012.1,411.0,1580,2823,19.07,3.77,16
all,7,2023.1,383.2,1681,2839,19.18,3.50,16
all,8,1938.8,316.4,1570,2536,18.38,2.88,16
all,9,1967.2,289.0,1645,2523,18.65,2.63,16
all,10,1970.2,341.2,1525,2780,18.68,3.12,16
all,11,1859.9,363.4,1475,2819,17.63,3.32,16
all,12,1692.4,346.9,1287,2495,16.04,3.17,16
under_20,1,53.8,10.6,34,74,3.04,0.73,16
under_20,2,42.9,9.4,29,60,2.42,0.62,16
under_20,3,46.7,11.5,23,73,2.64,0.76,16
under_20,4,57.9,11.9,45,84,3.27,0.81,16
under_20,5,56.1,13.8,34,78,3.17,0.89,16
under_20,6,56.8,15.5,33,86,3.22,1.03,16
under_20,7,53.7,11.0,38,73,3.03,0.77,16
under_20,8,57.4,14.1,36,96,3.24,0.92,16
under_20,9,59.7,16.0,36,92,3.38,1.06,16
under_20,10,50.8,12.8,36,85,2.87,0.88,16
under_20,11,50.9,13.4,33,81,2.87,0.88,16
under_20,12,40.9,9.0,28,58,2.31,0.61,16
20-29,1,216.0,35.2,161,304,19.90,2.55,16
20-29,2,199.1,33.3,153,269,18.35,2.46,16
20-29,3,247.1,46.5,196,363,22.74,3.32,16
20-29,4,223.1,41.8,166,310,20.53,3.03,16
20-29,5,226.4,50.7,168,372,20.83,3.96,16
20-29,6,213.2,40.9,162,308,19.63,3.09,16
20-29,7,217.0,36.9,153,312,19.98,2.61,16
20-29,8,209.0,34.0,153,268,19.26,2.54,16
20-29,9,214.4,36.7,159,265,19.76,2.90,16
20-29,10,211.2,36.2,143,289,19.46,2.73,16
20-29,11,192.8,37.7,139,279,17.73,2.76,16
20-29,12,183.2,37.9,133,262,16.86,2.84,16
30-39,1,270.1,67.5,190,415,20.65,3.02,16
30-39,2,242.8,65.4,179,386,18.54,3.05,16
30-39,3,286.9,76.8,215,486,21.91,3.62,16
30-39,4,262.9,71.6,151,417,20.07,3.47,16
30-39,5,284.7,87.1,214,530,21.72,4.52,16
30-39,6,256.1,72.4,188,404,19.54,3.51,16
30-39,7,258.2,69.5,194,413,19.71,3.20,16
30-39,8,253.1,57.2,179,358,19.39,2.56,16
30-39,9,250.3,56.3,181,394,19.20,2.48,16
30-39,10,260.7,57.7,183,378,20.02,2.87,16
30-39,11,238.0,66.3,162,401,18.17,3.28,16
30-39,12,227.3,71.8,139,401,17.27,3.57,16
40-49,1,340.9,54.4,265,462,23.07,4.35,16
40-49,2,301.8,44.4,241,390,20.41,3.63,16
40-49,3,370.0,61.1,288,510,25.05,5.01,16
40-49,4,334.1,65.6,222,510,22.64,5.25,16
40-49,5,357.6,73.4,251,536,24.23,5.70,16
40-49,6,328.6,58.4,253,448,22.24,4.65,16
40-49,7,321.8,60.6,270,472,21.80,4.88,16
40-49,8,320.8,55.4,239,457,21.67,4.20,16
40-49,9,317.1,42.6,264,411,21.45,3.61,16
40-49,10,328.1,54.4,249,445,22.18,4.23,16
40-49,11,305.3,63.7,224,445,20.65,4.86,16
40-49,12,282.9,61.0,195,431,19.16,4.74,16
50-59,1,356.3,81.9,269,567,26.11,5.94,16
50-59,2,327.7,79.3,249,521,24.02,5.74,16
50-59,3,392.8,88.3,300,617,28.80,6.44,16
50-59,4,362.3,96.8,243,610,26.55,7.03,16
50-59,5,376.4,98.2,230,595,27.59,7.19,16
50-59,6,345.4,92.7,239,561,25.31,6.77,16
50-59,7,344.0,74.9,250,508,25.22,5.52,16
50-59,8,325.2,70.2,227,509,23.82,5.06,16
50-59,9,325.2,54.0,260,446,23.83,3.90,16
50-59,10,340.8,69.2,249,535,24.98,5.05,16
50-59,11,331.7,82.8,253,558,24.28,5.90,16
50-59,12,303.6,70.8,237,494,22.27,5.21,16
60-69,1,312.8,85.4,218,484,21.78,4.70,16
60-69,2,291.0,92.1,184,475,20.22,5.25,16
60-69,3,353.9,100.3,229,576,24.65,5.63,16
60-69,4,326.8,94.5,229,536,22.77,5.34,16
60-69,5,354.0,116.2,207,587,24.57,6.64,16
60-69,6,315.8,107.6,213,512,21.91,6.18,16
60-69,7,322.9,104.3,208,524,22.41,5.91,16
60-69,8,289.3,91.3,172,488,20.09,5.16,16
60-69,9,301.9,91.3,191,472,20.97,5.11,16
60-69,10,301.9,94.3,190,505,20.99,5.41,16
60-69,11,288.0,96.1,187,527,20.01,5.53,16
60-69,12,273.4,91.2,176,462,18.97,5.24,16
70-79,1,240.8,22.7,205,283,19.86,3.33,16
70-79,2,227.9,27.1,193,303,18.81,3.48,16
70-79,3,274.9,23.9,235,323,22.62,3.38,16
70-79,4,277.8,34.2,224,337,22.96,4.52,16
70-79,5,296.6,42.3,236,388,24.55,5.29,16
70-79,6,280.0,44.4,214,372,23.21,5.51,16
70-79,7,282.6,44.3,222,355,23.41,5.45,16
70-79,8,268.9,31.9,210,322,22.20,4.14,16
70-79,9,278.8,41.8,211,358,22.98,4.60,16
70-79,10,266.2,38.6,195,344,21.99,4.64,16
70-79,11,256.1,38.8,206,360,21.19,4.71,16
70-79,12,211.8,30.7,153,270,17.51,3.72,16
80_over,1,137.8,60.3,0,185,16.18,7.60,19
80_over,2,134.4,58.2,0,176,15.74,7.21,19
80_over,3,162.3,69.6,3,213,18.99,8.60,19
80_over,4,163.6,70.7,1,224,19.25,9.09,19
80_over,5,175.4,77.9,0,253,20.81,10.40,19
80_over,6,177.6,78.2,1,250,21.02,10.37,19
80_over,7,182.1,80.7,1,248,21.46,10.44,19
80_over,8,176.6,77.3,0,238,20.80,9.93,19
80_over,9,179.5,78.3,2,246,21.11,10.00,19
80_over,10,172.0,75.8,2,240,20.26,9.79,19
80_over,11,162.5,71.9,1,250,19.03,8.89,19
80_over,12,138.9,60.8,0,188,16.33,7.72,19
