month,month_label,irr,ci_low,ci_high,p_value,bh_significant,irr_hac
1,Jan,1.1644,1.0826,1.2524,0.000042,True,1.158
2,Feb,1.0670,0.9919,1.1477,0.081590,False,1.062
3,Mar,1.2903,1.1998,1.3878,0.000000,True,1.283
4,Apr,1.2125,1.1274,1.3041,0.000000,True,1.209
5,May,1.2821,1.1921,1.3789,0.000000,True,1.280
6,Jun,1.1910,1.1074,1.2810,0.000003,True,1.189
7,Jul,1.1987,1.1145,1.2892,0.000001,True,1.195
8,Aug,1.1521,1.0712,1.2392,0.000140,True,1.146
9,Sep,1.1720,1.0896,1.2605,0.000020,True,1.162
10,Oct,1.1711,1.0888,1.2596,0.000022,True,1.164
11,Nov,1.1025,1.0250,1.1859,0.008701,True,1.099
12,Dec,1.0000,1.0000,1.0000,1.000000,False,1.000
